# Feed TDS,Temperature,TDS mg/L,Density,Osmotic Pressure
4.838276e-02,3.431500e+02,4.838276e-02,1.013116e+03,3.902989e+06
4.838276e-02,3.441500e+02,4.838276e-02,1.012551e+03,3.910841e+06
4.838276e-02,3.451500e+02,4.838276e-02,1.011981e+03,3.918620e+06
4.838276e-02,3.461500e+02,4.838276e-02,1.011407e+03,3.926326e+06
4.838276e-02,3.471500e+02,4.838276e-02,1.010829e+03,3.933959e+06
4.838276e-02,3.481500e+02,4.838276e-02,1.010246e+03,3.941520e+06
4.838276e-02,3.491500e+02,4.838276e-02,1.009660e+03,3.949008e+06
4.838276e-02,3.501500e+02,4.838276e-02,1.009069e+03,3.956424e+06
4.838276e-02,3.511500e+02,4.838276e-02,1.008474e+03,3.963768e+06
4.838276e-02,3.521500e+02,4.838276e-02,1.007875e+03,3.971040e+06
4.838276e-02,3.531500e+02,4.838276e-02,1.007272e+03,3.978240e+06
4.838276e-02,3.541500e+02,4.838276e-02,1.006664e+03,3.985368e+06
4.838276e-02,3.551500e+02,4.838276e-02,1.006053e+03,3.992425e+06
4.838276e-02,3.561500e+02,4.838276e-02,1.005438e+03,3.999410e+06
4.838276e-02,3.571500e+02,4.838276e-02,1.004819e+03,4.006323e+06
4.838276e-02,3.581500e+02,4.838276e-02,1.004196e+03,4.013165e+06
9.373868e-02,2.981500e+02,9.373868e-02,1.066795e+03,7.015696e+06
9.373868e-02,2.991500e+02,9.373868e-02,1.066409e+03,7.040538e+06
9.373868e-02,3.001500e+02,9.373868e-02,1.066018e+03,7.065123e+06
9.373868e-02,3.011500e+02,9.373868e-02,1.065624e+03,7.089455e+06
9.373868e-02,3.021500e+02,9.373868e-02,1.065225e+03,7.113538e+06
9.373868e-02,3.031500e+02,9.373868e-02,1.064822e+03,7.137373e+06
9.373868e-02,3.041500e+02,9.373868e-02,1.064415e+03,7.160964e+06
9.373868e-02,3.051500e+02,9.373868e-02,1.064004e+03,7.184314e+06
9.373868e-02,3.061500e+02,9.373868e-02,1.063589e+03,7.207426e+06
9.373868e-02,3.071500e+02,9.373868e-02,1.063171e+03,7.230302e+06
9.373868e-02,3.081500e+02,9.373868e-02,1.062748e+03,7.252946e+06
9.373868e-02,3.091500e+02,9.373868e-02,1.062321e+03,7.275359e+06
9.373868e-02,3.101500e+02,9.373868e-02,1.061889e+03,7.297545e+06
9.373868e-02,3.111500e+02,9.373868e-02,1.061454e+03,7.319505e+06
9.373868e-02,3.121500e+02,9.373868e-02,1.061015e+03,7.341241e+06
9.373868e-02,3.131500e+02,9.373868e-02,1.060572e+03,7.362758e+06
9.373868e-02,3.141500e+02,9.373868e-02,1.060125e+03,7.384055e+06
9.373868e-02,3.151500e+02,9.373868e-02,1.059674e+03,7.405136e+06
9.373868e-02,3.161500e+02,9.373868e-02,1.059219e+03,7.426002e+06
9.373868e-02,3.171500e+02,9.373868e-02,1.058761e+03,7.446656e+06
9.373868e-02,3.181500e+02,9.373868e-02,1.058298e+03,7.467100e+06
9.373868e-02,3.191500e+02,9.373868e-02,1.057831e+03,7.487335e+06
9.373868e-02,3.201500e+02,9.373868e-02,1.057361e+03,7.507363e+06
9.373868e-02,3.211500e+02,9.373868e-02,1.056886e+03,7.527186e+06
9.373868e-02,3.221500e+02,9.373868e-02,1.056408e+03,7.546805e+06
9.373868e-02,3.231500e+02,9.373868e-02,1.055926e+03,7.566222e+06
9.373868e-02,3.241500e+02,9.373868e-02,1.055441e+03,7.585440e+06
9.373868e-02,3.251500e+02,9.373868e-02,1.054951e+03,7.604458e+06
9.373868e-02,3.261500e+02,9.373868e-02,1.054458e+03,7.623280e+06
9.373868e-02,3.271500e+02,9.373868e-02,1.053961e+03,7.641905e+06
9.373868e-02,3.281500e+02,9.373868e-02,1.053461e+03,7.660336e+06
9.373868e-02,3.291500e+02,9.373868e-02,1.052956e+03,7.678574e+06
9.373868e-02,3.301500e+02,9.373868e-02,1.052449e+03,7.696620e+06
9.373868e-02,3.311500e+02,9.373868e-02,1.051937e+03,7.714475e+06
9.373868e-02,3.321500e+02,9.373868e-02,1.051422e+03,7.732141e+06
9.373868e-02,3.331500e+02,9.373868e-02,1.050903e+03,7.749618e+06
9.373868e-02,3.341500e+02,9.373868e-02,1.050381e+03,7.766909e+06
9.373868e-02,3.351500e+02,9.373868e-02,1.049856e+03,7.784013e+06
9.373868e-02,3.361500e+02,9.373868e-02,1.049326e+03,7.800931e+06
9.373868e-02,3.371500e+02,9.373868e-02,1.048794e+03,7.817666e+06
9.373868e-02,3.381500e+02,9.373868e-02,1.048258e+03,7.834217e+06
9.373868e-02,3.391500e+02,9.373868e-02,1.047718e+03,7.850586e+06
9.373868e-02,3.401500e+02,9.373868e-02,1.047176e+03,7.866773e+06
9.373868e-02,3.411500e+02,9.373868e-02,1.046629e+03,7.882780e+06
9.373868e-02,3.421500e+02,9.373868e-02,1.046080e+03,7.898607e+06
9.373868e-02,3.431500e+02,9.373868e-02,1.045527e+03,7.914254e+06
9.373868e-02,3.441500e+02,9.373868e-02,1.044971e+03,7.929723e+06
9.373868e-02,3.451500e+02,9.373868e-02,1.044411e+03,7.945014e+06
9.373868e-02,3.461500e+02,9.373868e-02,1.043849e+03,7.960128e+06
9.373868e-02,3.471500e+02,9.373868e-02,1.043283e+03,7.975066e+06
9.373868e-02,3.481500e+02,9.373868e-02,1.042714e+03,7.989827e+06
9.373868e-02,3.491500e+02,9.373868e-02,1.042141e+03,8.004413e+06
9.373868e-02,3.501500e+02,9.373868e-02,1.041566e+03,8.018825e+06
9.373868e-02,3.511500e+02,9.373868e-02,1.040987e+03,8.033061e+06
9.373868e-02,3.521500e+02,9.373868e-02,1.040406e+03,8.047125e+06
9.373868e-02,3.531500e+02,9.373868e-02,1.039821e+03,8.061014e+06
9.373868e-02,3.541500e+02,9.373868e-02,1.039233e+03,8.074731e+06
9.373868e-02,3.551500e+02,9.373868e-02,1.038643e+03,8.088275e+06
9.373868e-02,3.561500e+02,9.373868e-02,1.038049e+03,8.101646e+06
9.373868e-02,3.571500e+02,9.373868e-02,1.037452e+03,8.114846e+06
9.373868e-02,3.581500e+02,9.373868e-02,1.036852e+03,8.127874e+06
1.366460e-01,2.981500e+02,1.366460e-01,1.097727e+03,1.075804e+07
1.366460e-01,2.991500e+02,1.366460e-01,1.097280e+03,1.079689e+07
1.366460e-01,3.001500e+02,1.366460e-01,1.096832e+03,1.083530e+07
1.366460e-01,3.011500e+02,1.366460e-01,1.096383e+03,1.087327e+07
1.366460e-01,3.021500e+02,1.366460e-01,1.095932e+03,1.091080e+07
1.366460e-01,3.031500e+02,1.366460e-01,1.095479e+03,1.094790e+07
