# Feed TDS,Temperature,Feed Concentration,Enthalpy,Vap Pressure,Osmotic Pressure,Density
4.838276e-02,3.091500e+02,4.731187e+01,1.433776e+05,5.884122e+03,3.942944e+06,1.025178e+03
4.838276e-02,3.101500e+02,4.729331e+01,1.473356e+05,6.229886e+03,3.953580e+06,1.024776e+03
4.838276e-02,3.111500e+02,4.727450e+01,1.512943e+05,6.590173e+03,3.964157e+06,1.024368e+03
4.838276e-02,3.121500e+02,4.725542e+01,1.552536e+05,6.965529e+03,3.974676e+06,1.023955e+03
4.838276e-02,3.131500e+02,4.723608e+01,1.592136e+05,7.356527e+03,3.985136e+06,1.023536e+03
4.838276e-02,3.141500e+02,4.721648e+01,1.631742e+05,7.763771e+03,3.995538e+06,1.023111e+03
4.838276e-02,3.151500e+02,4.719663e+01,1.671354e+05,8.187893e+03,4.005882e+06,1.022681e+03
4.838276e-02,3.161500e+02,4.717653e+01,1.710973e+05,8.629553e+03,4.016168e+06,1.022245e+03
4.838276e-02,3.171500e+02,4.715617e+01,1.750598e+05,9.089441e+03,4.026394e+06,1.021804e+03
4.838276e-02,3.181500e+02,4.713556e+01,1.790228e+05,9.568275e+03,4.036563e+06,1.021358e+03
4.838276e-02,3.191500e+02,4.711471e+01,1.829865e+05,1.006680e+04,4.046672e+06,1.020906e+03
4.838276e-02,3.201500e+02,4.709361e+01,1.869508e+05,1.058580e+04,4.056723e+06,1.020449e+03
4.838276e-02,3.211500e+02,4.707227e+01,1.909157e+05,1.112607e+04,4.066715e+06,1.019986e+03
4.838276e-02,3.221500e+02,4.705068e+01,1.948812e+05,1.168845e+04,4.076649e+06,1.019519e+03
4.838276e-02,3.231500e+02,4.702885e+01,1.988472e+05,1.227379e+04,4.086523e+06,1.019046e+03
4.838276e-02,3.241500e+02,4.700679e+01,2.028139e+05,1.288300e+04,4.096339e+06,1.018567e+03
4.838276e-02,3.251500e+02,4.698448e+01,2.067811e+05,1.351700e+04,4.106095e+06,1.018084e+03
4.838276e-02,3.261500e+02,4.696194e+01,2.107489e+05,1.417672e+04,4.115793e+06,1.017596e+03
4.838276e-02,3.271500e+02,4.693917e+01,2.147173e+05,1.486315e+04,4.125432e+06,1.017102e+03
4.838276e-02,3.281500e+02,4.691616e+01,2.186863e+05,1.557730e+04,4.135011e+06,1.016604e+03
4.838276e-02,3.291500e+02,4.689292e+01,2.226558e+05,1.632020e+04,4.144531e+06,1.016100e+03
4.838276e-02,3.301500e+02,4.686945e+01,2.266259e+05,1.709292e+04,4.153992e+06,1.015592e+03
4.838276e-02,3.311500e+02,4.684575e+01,2.305966e+05,1.789654e+04,4.163394e+06,1.015078e+03
4.838276e-02,3.321500e+02,4.682183e+01,2.345679e+05,1.873220e+04,4.172736e+06,1.014560e+03
4.838276e-02,3.331500e+02,4.679768e+01,2.385397e+05,1.960104e+04,4.182019e+06,1.014036e+03
4.838276e-02,3.341500e+02,4.677331e+01,2.425121e+05,2.050424e+04,4.191242e+06,1.013508e+03
4.838276e-02,3.351500e+02,4.674872e+01,2.464850e+05,2.144302e+04,4.200406e+06,1.012975e+03
4.838276e-02,3.361500e+02,4.672390e+01,2.504585e+05,2.241860e+04,4.209510e+06,1.012438e+03
4.838276e-02,3.371500e+02,4.669887e+01,2.544326e+05,2.343226e+04,4.218554e+06,1.011895e+03
4.838276e-02,3.381500e+02,4.667362e+01,2.584073e+05,2.448528e+04,4.227539e+06,1.011348e+03
4.838276e-02,3.391500e+02,4.664815e+01,2.623825e+05,2.557901e+04,4.236464e+06,1.010796e+03
4.838276e-02,3.401500e+02,4.662246e+01,2.663583e+05,2.671478e+04,4.245329e+06,1.010240e+03
4.838276e-02,3.411500e+02,4.659657e+01,2.703347e+05,2.789398e+04,4.254134e+06,1.009679e+03
4.838276e-02,3.421500e+02,4.657046e+01,2.743116e+05,2.911802e+04,4.262879e+06,1.009113e+03
4.838276e-02,3.431500e+02,4.654414e+01,2.782891e+05,3.038834e+04,4.271564e+06,1.008543e+03
4.838276e-02,3.441500e+02,4.651761e+01,2.822672e+05,3.170640e+04,4.280188e+06,1.007968e+03
4.838276e-02,3.451500e+02,4.649087e+01,2.862459e+05,3.307372e+04,4.288753e+06,1.007388e+03
4.838276e-02,3.461500e+02,4.646392e+01,2.902252e+05,3.449180e+04,4.297257e+06,1.006804e+03
4.838276e-02,3.471500e+02,4.643677e+01,2.942050e+05,3.596221e+04,4.305701e+06,1.006216e+03
4.838276e-02,3.481500e+02,4.640942e+01,2.981855e+05,3.748653e+04,4.314084e+06,1.005623e+03
4.838276e-02,3.491500e+02,4.638186e+01,3.021666e+05,3.906637e+04,4.322407e+06,1.005026e+03
4.838276e-02,3.501500e+02,4.635409e+01,3.061482e+05,4.070337e+04,4.330669e+06,1.004425e+03
4.838276e-02,3.511500e+02,4.632613e+01,3.101305e+05,4.239921e+04,4.338870e+06,1.003819e+03
4.838276e-02,3.521500e+02,4.629797e+01,3.141133e+05,4.415559e+04,4.347011e+06,1.003208e+03
4.838276e-02,3.531500e+02,4.626961e+01,3.180968e+05,4.597422e+04,4.355090e+06,1.002594e+03
4.838276e-02,3.541500e+02,4.624104e+01,3.220809e+05,4.785687e+04,4.363109e+06,1.001975e+03
4.838276e-02,3.551500e+02,4.621229e+01,3.260657e+05,4.980533e+04,4.371066e+06,1.001352e+03
