# boron_feed,boron_limit,LCOW,SEC,Recovery,RO1_Boron_rej,Mem Area RO1,P1
1.600000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.906694e-01,1.004848e+02,6.768748e+06
1.600000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.844990e-01,1.004848e+02,6.768748e+06
1.600000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.692536e-01,1.004848e+02,6.768748e+06
1.600000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.280257e-01,1.004848e+02,6.768748e+06
1.650000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.909508e-01,1.004848e+02,6.768748e+06
1.650000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.849650e-01,1.004848e+02,6.768748e+06
1.650000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.701701e-01,1.004848e+02,6.768748e+06
1.650000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.301117e-01,1.004848e+02,6.768748e+06
1.700000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.912157e-01,1.004848e+02,6.768748e+06
1.700000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.854038e-01,1.004848e+02,6.768748e+06
1.700000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.710336e-01,1.004848e+02,6.768748e+06
1.700000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.320808e-01,1.004848e+02,6.768748e+06
1.750000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.914656e-01,1.004848e+02,6.768748e+06
1.750000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.858178e-01,1.004848e+02,6.768748e+06
1.750000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.718485e-01,1.004848e+02,6.768748e+06
1.750000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.339425e-01,1.004848e+02,6.768748e+06
1.800000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.917017e-01,1.004848e+02,6.768748e+06
1.800000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.862089e-01,1.004848e+02,6.768748e+06
1.800000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.726188e-01,1.004848e+02,6.768748e+06
1.800000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.357052e-01,1.004848e+02,6.768748e+06
1.850000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.919250e-01,1.004848e+02,6.768748e+06
1.850000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.865790e-01,1.004848e+02,6.768748e+06
1.850000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.733481e-01,1.004848e+02,6.768748e+06
1.850000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.373767e-01,1.004848e+02,6.768748e+06
1.900000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.921367e-01,1.004848e+02,6.768748e+06
1.900000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.869298e-01,1.004848e+02,6.768748e+06
1.900000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.740396e-01,1.004848e+02,6.768748e+06
1.900000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.389638e-01,1.004848e+02,6.768748e+06
1.950000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.923375e-01,1.004848e+02,6.768748e+06
1.950000e-02,5.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.872627e-01,1.004848e+02,6.768748e+06
1.950000e-02,1.000000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.746962e-01,1.004848e+02,6.768748e+06
1.950000e-02,2.400000e-03,6.615159e-01,3.965631e+00,5.902365e-01,9.404727e-01,1.004848e+02,6.768748e+06
2.000000e-02,3.000000e-04,6.615159e-01,3.965631e+00,5.902365e-01,9.925283e-01,1.004848e+02,6.768748e+06
