# Feed Mass Frac,# Mono to Di Ratio,Temperature,Density,Enthalpy,Vapor Pressure
5.000000e-02,5.000000e-01,3.381500e+02,1.051430e+03,-2.418858e+05,2.357195e+04
5.000000e-02,5.000000e-01,3.481500e+02,1.045927e+03,-2.793453e+05,3.629492e+04
5.000000e-02,5.000000e-01,3.581500e+02,1.040034e+03,-3.167904e+05,5.433802e+04
5.000000e-02,5.000000e-01,3.681500e+02,1.033774e+03,-3.542429e+05,7.928783e+04
5.000000e-02,1.000000e+00,2.981500e+02,1.068724e+03,-9.261681e+04,3.002713e+03
5.000000e-02,1.000000e+00,3.081500e+02,1.064568e+03,-1.302952e+05,5.331473e+03
5.000000e-02,1.000000e+00,3.181500e+02,1.059776e+03,-1.680927e+05,9.084404e+03
5.000000e-02,1.000000e+00,3.281500e+02,1.054360e+03,-2.059575e+05,1.491243e+04
5.000000e-02,1.000000e+00,3.381500e+02,1.048330e+03,-2.438720e+05,2.366389e+04
5.000000e-02,1.000000e+00,3.481500e+02,1.045487e+03,-2.813235e+05,3.649092e+04
5.000000e-02,1.000000e+00,3.581500e+02,1.039432e+03,-3.191368e+05,5.462338e+04
5.000000e-02,1.000000e+00,3.681500e+02,1.033014e+03,-3.569957e+05,7.969341e+04
5.000000e-02,2.000000e+00,2.981500e+02,1.060821e+03,-9.368020e+04,3.006949e+03
5.000000e-02,2.000000e+00,3.081500e+02,1.056948e+03,-1.317250e+05,5.339617e+03
5.000000e-02,2.000000e+00,3.181500e+02,1.052562e+03,-1.698718e+05,9.099907e+03
5.000000e-02,2.000000e+00,3.281500e+02,1.047699e+03,-2.080683e+05,1.494175e+04
5.000000e-02,2.000000e+00,3.381500e+02,1.042390e+03,-2.462925e+05,2.371888e+04
5.000000e-02,2.000000e+00,3.481500e+02,1.036664e+03,-2.845456e+05,3.651169e+04
5.000000e-02,2.000000e+00,3.581500e+02,1.030547e+03,-3.228453e+05,5.464890e+04
5.000000e-02,2.000000e+00,3.681500e+02,1.024058e+03,-3.612235e+05,7.972225e+04
5.000000e-02,4.000000e+00,2.981500e+02,1.054008e+03,-9.457433e+04,3.009369e+03
5.000000e-02,4.000000e+00,3.081500e+02,1.050100e+03,-1.329433e+05,5.343607e+03
5.000000e-02,4.000000e+00,3.181500e+02,1.045681e+03,-1.714171e+05,9.106132e+03
5.000000e-02,4.000000e+00,3.281500e+02,1.040783e+03,-2.099495e+05,1.495096e+04
5.000000e-02,4.000000e+00,3.381500e+02,1.035438e+03,-2.485229e+05,2.373181e+04
5.000000e-02,4.000000e+00,3.481500e+02,1.029674e+03,-2.871420e+05,3.652889e+04
5.000000e-02,4.000000e+00,3.581500e+02,1.023513e+03,-3.258283e+05,5.467044e+04
5.000000e-02,4.000000e+00,3.681500e+02,1.016975e+03,-3.646169e+05,7.974737e+04
1.000000e-01,2.500000e-01,2.981500e+02,1.177061e+03,-8.013706e+04,2.864422e+03
1.000000e-01,2.500000e-01,3.081500e+02,1.172541e+03,-1.131831e+05,5.088201e+03
1.000000e-01,2.500000e-01,3.181500e+02,1.167828e+03,-1.462704e+05,8.676498e+03
1.000000e-01,2.500000e-01,3.281500e+02,1.162897e+03,-1.792612e+05,1.425775e+04
1.000000e-01,2.500000e-01,3.381500e+02,1.157748e+03,-2.120690e+05,2.265476e+04
1.000000e-01,2.500000e-01,3.481500e+02,1.152398e+03,-2.446344e+05,3.491204e+04
1.000000e-01,2.500000e-01,3.581500e+02,1.146865e+03,-2.769131e+05,5.231862e+04
1.000000e-01,2.500000e-01,3.681500e+02,1.141177e+03,-3.088692e+05,7.642456e+04
1.000000e-01,5.000000e-01,2.981500e+02,1.162651e+03,-8.137220e+04,2.867993e+03
1.000000e-01,5.000000e-01,3.081500e+02,1.158011e+03,-1.149189e+05,5.094246e+03
1.000000e-01,5.000000e-01,3.181500e+02,1.153181e+03,-1.485247e+05,8.686133e+03
1.000000e-01,5.000000e-01,3.281500e+02,1.148128e+03,-1.820595e+05,1.427220e+04
1.000000e-01,5.000000e-01,3.381500e+02,1.142848e+03,-2.154441e+05,2.267508e+04
1.000000e-01,5.000000e-01,3.481500e+02,1.137349e+03,-2.486278e+05,3.493859e+04
1.000000e-01,5.000000e-01,3.581500e+02,1.131648e+03,-2.815756e+05,5.235024e+04
1.000000e-01,5.000000e-01,3.681500e+02,1.125763e+03,-3.142620e+05,7.645734e+04
1.000000e-01,1.000000e+00,2.981500e+02,1.144821e+03,-8.296068e+04,2.872565e+03
1.000000e-01,1.000000e+00,3.081500e+02,1.140044e+03,-1.171489e+05,5.101964e+03
1.000000e-01,1.000000e+00,3.181500e+02,1.135080e+03,-1.514181e+05,8.698383e+03
1.000000e-01,1.000000e+00,3.281500e+02,1.129891e+03,-1.856469e+05,1.429048e+04
1.000000e-01,1.000000e+00,3.381500e+02,1.124462e+03,-2.197653e+05,2.270065e+04
1.000000e-01,1.000000e+00,3.481500e+02,1.118797e+03,-2.537325e+05,3.497184e+04
1.000000e-01,1.000000e+00,3.581500e+02,1.112906e+03,-2.875245e+05,5.238970e+04
1.000000e-01,1.000000e+00,3.681500e+02,1.106803e+03,-3.211283e+05,7.649824e+04
1.000000e-01,2.000000e+00,2.981500e+02,1.127191e+03,-8.459794e+04,2.877243e+03
