,Conc,T,pH,titrantAmount,deltaCalcite,deltaAnhydrite
62,2.0,50.0,8.0,-0.005771869471237094,-3.197442310920451e-14,4.192202140984591e-13
63,2.0,50.0,8.999999999999998,-0.0010914093626983791,0.0,-8.208189683500677e-11
64,2.0,50.0,10.0,-0.004429134761890454,0.0,9.769962616701378e-14
65,2.0,60.0,6.000000000000001,0.05719283526428802,-2.3092638912203256e-14,-2.8208546609675977e-12
66,2.0,60.0,7.0,-0.047109924441280655,4.092726157978177e-12,-1.1013412404281553e-13
67,2.0,60.0,8.0,-0.004763524787343478,9.059419880941277e-14,1.2434497875801753e-13
68,2.0,60.0,9.0,-0.0013517239585936216,0.0,-1.6713741501916957e-11
69,2.0,60.0,10.0,-0.008211033543477155,0.0,-1.3145040611561853e-13
70,2.0,70.0,5.999999999999999,0.05436534922182609,-5.755396159656812e-13,1.1675460598326026e-10
71,2.0,70.0,7.0,-0.04098587795368964,1.8406609569865395e-11,-2.3092638912203256e-14
72,2.0,70.0,8.0,-0.004011955433501086,-7.105427357601002e-15,4.121147867408581e-13
73,2.0,70.0,9.0,-0.0019417844252195041,-3.552713678800501e-15,-1.5075940495989926e-11
74,2.0,70.0,10.000000000000002,-0.014463083887033053,-1.7763568394002505e-15,1.5099033134902129e-12
75,2.0,80.0,5.999999999999999,0.05596055634870634,-3.2507330161024584e-13,3.929301328753354e-11
76,2.0,80.0,7.0,-0.036292303891278854,1.1390000054234406e-11,3.552713678800501e-15
77,2.0,80.0,8.0,-0.003483346455355243,-2.6645352591003757e-14,1.382716163789155e-10
78,2.0,80.0,9.0,-0.003020833156951432,0.0,-8.412825991399586e-12
79,2.0,80.0,10.0,-0.024009617892799425,1.7763568394002505e-15,-2.149391775674303e-13
80,2.0,90.0,5.999999999999999,0.0625874673012396,-1.8847146066036657e-12,6.265032936880743e-11
81,2.0,90.0,6.999999999999998,-0.03267326265028782,-2.1316282072803006e-14,-1.7763568394002505e-15
82,2.0,90.0,8.0,-0.0031653187457941646,-1.2434497875801753e-14,1.2871481658294215e-10
83,2.0,90.0,9.0,-0.004812688719725238,-1.7763568394002505e-15,-3.5136338283336954e-12
84,2.0,90.0,10.0,-0.037282566977805354,0.0,-1.474376176702208e-13
85,2.0,100.0,5.999999999999999,0.07466070574598074,-2.9700686354772188e-12,4.632561001471913e-11
86,2.0,100.0,7.0,-0.029889837303313356,3.835154416265141e-12,-1.7763568394002505e-15
87,2.0,100.0,8.000000000000002,-0.003065459077557797,-2.1316282072803006e-14,3.370228540688913e-10
88,2.0,100.0,8.999999999999998,-0.007600256408782661,-3.552713678800501e-15,-1.4424017535930034e-12
89,2.0,100.0,10.0,-0.05388095846320564,0.0,-4.618527782440651e-14
90,3.0,20.0,5.999999999971874,0.003917086273124837,0.10455857920547373,0.18801224833682006
91,3.0,20.0,7.0,-0.15427910987696958,4.371614181764016e-12,-6.288303211476887e-13
92,3.0,20.0,8.0,-0.01671319213542076,-7.815970093361102e-14,1.9184653865522705e-13
93,3.0,20.0,9.0,-0.0022227916109388204,7.105427357601002e-15,-2.902371676327675e-10
94,3.0,20.0,10.0,-0.0009437752270952357,-1.7763568394002505e-15,-4.293454480830405e-12
95,3.0,30.0,6.000000000000001,0.13767584056553525,-8.526512829121202e-14,1.5976020506514033e-10
96,3.0,30.0,7.0,-0.12184870144726807,1.41806566489322e-11,-7.105427357601002e-15
97,3.0,30.0,8.0,-0.013251742649101167,5.329070518200751e-15,3.5420555377640994e-12
98,3.0,30.0,9.0,-0.0017937402677986132,1.7763568394002505e-15,-5.522604595853409e-10
99,3.0,30.0,10.0,-0.0017569012660345112,-1.7763568394002505e-15,5.5351279115711804e-12
100,3.0,40.0,5.999999999999999,0.1129324870889646,1.3073986337985843e-12,-7.44364569982281e-11
101,3.0,40.0,7.0,-0.09918354379672648,8.419931418757187e-13,2.38415509556944e-10
102,3.0,40.0,8.0,-0.01064510125483838,1.2434497875801753e-14,4.721414370578714e-10
103,3.0,40.0,9.0,-0.0015876433610811315,-1.7763568394002505e-15,-6.864375734494388e-11
104,3.0,40.0,10.0,-0.0034426328756102984,-1.7763568394002505e-15,-2.34123831432953e-12
105,3.0,50.0,6.0,0.09614462883714188,-1.0658141036401503e-14,-1.2434497875801753e-12
106,3.0,50.0,6.999999999999998,-0.08280913957195381,-1.0835776720341528e-13,-2.9608848706175195e-10
107,3.0,50.0,8.000000000000002,-0.00865780420687786,3.552713678800501e-15,2.2434321067521523e-10
108,3.0,50.0,9.0,-0.0016371140440423393,0.0,-6.252065531953122e-11
109,3.0,50.0,10.0,-0.006643702142835837,0.0,-1.0604850331219495e-12
110,3.0,60.0,6.000000000000001,0.08578925289702577,-4.4586556668946287e-13,-6.66844357510854e-12
111,3.0,60.0,7.0,-0.07066488665570217,3.4994229736184934e-13,5.329070518200751e-15
112,3.0,60.0,8.0,-0.007145287180932995,7.283063041541027e-14,1.687538997430238e-13
113,3.0,60.0,9.0,-0.002027585937892318,-1.7763568394002505e-15,-7.412737090817245e-11
114,3.0,60.0,10.0,-0.01231655031521413,0.0,-3.9612757518625585e-13
115,3.0,70.0,5.999999999999999,0.08154802383174936,-2.5579538487363607e-13,2.6420110543767805e-10
116,3.0,70.0,6.999999999999984,-0.0614788169044932,6.45350439754111e-12,-5.329070518200751e-15
117,3.0,70.0,8.0,-0.006017933150239057,-3.552713678800501e-15,2.5070967524243315e-10
118,3.0,70.0,9.0,-0.002912676637855777,-1.7763568394002505e-15,1.9330137490669586e-10
119,3.0,70.0,10.000000000000002,-0.021694625830497638,-1.7763568394002505e-15,-9.71667191151937e-13
120,3.0,80.0,6.000000000000002,0.08394083452225118,8.881784197001252e-15,7.683098601773963e-11
121,3.0,80.0,6.999999999999992,-0.054438455820678036,3.68949315543432e-12,-5.329070518200751e-15
122,3.0,80.0,8.0,-0.005225019683055113,-1.5987211554602254e-14,9.609912865471415e-11
123,3.0,80.0,9.0,-0.004531249735428045,0.0,1.2957102057953307e-10
124,3.0,80.0,10.0,-0.03601442683926392,0.0,6.061640078769415e-11
