# Temperature,Flow,Enthalpy,Vap Pressure,Osmotic Pressure,Diffusivity,Osmotic Coeff,Density,Viscosity
3.202333e+02,3.083333e-02,1.904492e+05,1.073344e+04,2.654895e+06,2.301704e-09,9.217076e-01,1.009948e+03,5.907259e-04
3.202333e+02,4.125000e-02,1.883610e+05,1.066567e+04,3.572568e+06,2.246226e-09,9.270919e-01,1.016847e+03,6.022084e-04
3.202333e+02,5.166667e-02,1.862993e+05,1.059717e+04,4.505234e+06,2.205761e-09,9.334114e-01,1.023648e+03,6.141992e-04
3.202333e+02,6.208333e-02,1.842627e+05,1.052785e+04,5.455307e+06,2.178230e-09,9.406117e-01,1.030354e+03,6.265929e-04
3.202333e+02,7.250000e-02,1.822503e+05,1.045762e+04,6.424990e+06,2.161750e-09,9.486384e-01,1.036968e+03,6.393122e-04
3.202333e+02,8.291667e-02,1.802617e+05,1.038641e+04,7.416275e+06,2.154613e-09,9.574370e-01,1.043495e+03,6.523034e-04
3.202333e+02,9.333333e-02,1.782968e+05,1.031419e+04,8.430939e+06,2.155276e-09,9.669531e-01,1.049938e+03,6.655325e-04
3.202333e+02,1.037500e-01,1.763558e+05,1.024092e+04,9.470550e+06,2.162343e-09,9.771323e-01,1.056298e+03,6.789820e-04
3.202333e+02,1.141667e-01,1.744392e+05,1.016657e+04,1.053646e+07,2.174551e-09,9.879201e-01,1.062578e+03,6.926483e-04
3.202333e+02,1.245833e-01,1.725477e+05,1.009114e+04,1.162982e+07,2.190761e-09,9.992620e-01,1.068781e+03,7.065388e-04
3.202333e+02,1.350000e-01,1.706821e+05,1.001463e+04,1.275156e+07,2.209945e-09,1.011104e+00,1.074909e+03,7.206701e-04
3.202333e+02,1.454167e-01,1.688432e+05,9.937048e+03,1.390239e+07,2.231176e-09,1.023391e+00,1.080963e+03,7.350660e-04
3.202333e+02,1.558333e-01,1.670322e+05,9.858404e+03,1.508283e+07,2.253623e-09,1.036069e+00,1.086946e+03,7.497563e-04
3.202333e+02,1.662500e-01,1.652501e+05,9.778719e+03,1.629316e+07,2.276536e-09,1.049083e+00,1.092858e+03,7.647747e-04
3.202333e+02,1.766667e-01,1.634980e+05,9.698018e+03,1.753348e+07,2.299244e-09,1.062380e+00,1.098702e+03,7.801588e-04
3.202333e+02,1.870833e-01,1.617769e+05,9.616331e+03,1.880366e+07,2.321146e-09,1.075904e+00,1.104479e+03,7.959478e-04
