# Temperature,Flow,Enthalpy,Vap Pressure,Osmotic Pressure,Diffusivity,Density,Viscosity
3.039833e+02,1.454167e-01,1.289450e+05,2.483300e+04,1.303439e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,1.558333e-01,1.289450e+05,2.475428e+04,1.396808e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,1.662500e-01,1.289450e+05,2.467606e+04,1.490178e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,1.766667e-01,1.289450e+05,2.459834e+04,1.583547e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,1.870833e-01,1.289450e+05,2.452110e+04,1.676917e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,1.975000e-01,1.289450e+05,2.444435e+04,1.770286e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,2.079167e-01,1.289450e+05,2.436807e+04,1.863656e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,2.183333e-01,1.289450e+05,2.429227e+04,1.957025e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,2.287500e-01,1.289450e+05,2.421694e+04,2.050395e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,2.391667e-01,1.289450e+05,2.414207e+04,2.143765e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,2.495833e-01,1.289450e+05,2.406767e+04,2.237134e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.039833e+02,2.600000e-01,1.289450e+05,2.399373e+04,2.330504e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.000000e-02,1.515975e+05,2.958681e+04,9.123195e+05,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,2.041667e-02,1.515975e+05,2.948899e+04,1.862652e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,3.083333e-02,1.515975e+05,2.939182e+04,2.812985e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,4.125000e-02,1.515975e+05,2.929529e+04,3.763318e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,5.166667e-02,1.515975e+05,2.919939e+04,4.713651e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,6.208333e-02,1.515975e+05,2.910411e+04,5.663984e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,7.250000e-02,1.515975e+05,2.900946e+04,6.614317e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,8.291667e-02,1.515975e+05,2.891542e+04,7.564649e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,9.333333e-02,1.515975e+05,2.882198e+04,8.514982e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.037500e-01,1.515975e+05,2.872915e+04,9.465315e+06,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.141667e-01,1.515975e+05,2.863692e+04,1.041565e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.245833e-01,1.515975e+05,2.854527e+04,1.136598e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.350000e-01,1.515975e+05,2.845421e+04,1.231631e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.454167e-01,1.515975e+05,2.836373e+04,1.326665e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.558333e-01,1.515975e+05,2.827382e+04,1.421698e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.662500e-01,1.515975e+05,2.818448e+04,1.516731e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.766667e-01,1.515975e+05,2.809571e+04,1.611764e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.870833e-01,1.515975e+05,2.800749e+04,1.706798e+07,1.471871e-09,1.000000e+03,1.055250e-03
3.094000e+02,1.975000e-01,1.515975e+05,2.791982e+04,1.801831e+07,1.471871e-09,1.000000e+03,1.055250e-03
