# Temperature,Flow,Enthalpy,Vap Pressure,Osmotic Pressure,Diffusivity,Osmotic Coeff,Density,Viscosity
3.039833e+02,2.079167e-01,9.332593e+04,3.850551e+03,1.970169e+07,1.572809e-09,1.141538e+00,1.129186e+03,1.220297e-03
3.039833e+02,2.183333e-01,9.237040e+04,3.817294e+03,2.107119e+07,1.576690e-09,1.162640e+00,1.134656e+03,1.244525e-03
3.039833e+02,2.287500e-01,9.155593e+04,3.784106e+03,2.248668e+07,1.579873e-09,1.184242e+00,1.140031e+03,1.268817e-03
3.039833e+02,2.391667e-01,9.089088e+04,3.751017e+03,2.394874e+07,1.582378e-09,1.206309e+00,1.145313e+03,1.293161e-03
3.039833e+02,2.495833e-01,9.038319e+04,3.718053e+03,2.545791e+07,1.584233e-09,1.228806e+00,1.150505e+03,1.317541e-03
3.039833e+02,2.600000e-01,9.004038e+04,3.685238e+03,2.701460e+07,1.585472e-09,1.251704e+00,1.155608e+03,1.341947e-03
3.094000e+02,1.000000e-02,1.492775e+05,5.999194e+03,7.613625e+05,1.492524e-09,9.027404e-01,1.001229e+03,7.174485e-04
3.094000e+02,2.041667e-02,1.466096e+05,5.966551e+03,1.556265e+06,1.480427e-09,9.037956e-01,1.009077e+03,7.344897e-04
3.094000e+02,3.083333e-02,1.440390e+05,5.932189e+03,2.357765e+06,1.473451e-09,9.066745e-01,1.016760e+03,7.520455e-04
3.094000e+02,4.125000e-02,1.415472e+05,5.896279e+03,3.170272e+06,1.470623e-09,9.112636e-01,1.024284e+03,7.700732e-04
3.094000e+02,5.166667e-02,1.391205e+05,5.858978e+03,3.997832e+06,1.471106e-09,9.174565e-01,1.031654e+03,7.885328e-04
3.094000e+02,6.208333e-02,1.367504e+05,5.820434e+03,4.844147e+06,1.474184e-09,9.251533e-01,1.038874e+03,8.073872e-04
3.094000e+02,7.250000e-02,1.344316e+05,5.780785e+03,5.712608e+06,1.479242e-09,9.342601e-01,1.045949e+03,8.266014e-04
3.094000e+02,8.291667e-02,1.321624e+05,5.740159e+03,6.606313e+06,1.485760e-09,9.446887e-01,1.052884e+03,8.461429e-04
3.094000e+02,9.333333e-02,1.299435e+05,5.698676e+03,7.528093e+06,1.493297e-09,9.563561e-01,1.059682e+03,8.659813e-04
3.094000e+02,1.037500e-01,1.277776e+05,5.656448e+03,8.480531e+06,1.501482e-09,9.691843e-01,1.066348e+03,8.860883e-04
3.094000e+02,1.141667e-01,1.256693e+05,5.613579e+03,9.465978e+06,1.510008e-09,9.830998e-01,1.072885e+03,9.064371e-04
3.094000e+02,1.245833e-01,1.236244e+05,5.570164e+03,1.048657e+07,1.518617e-09,9.980335e-01,1.079297e+03,9.270031e-04
3.094000e+02,1.350000e-01,1.216498e+05,5.526292e+03,1.154426e+07,1.527102e-09,1.013920e+00,1.085587e+03,9.477630e-04
3.094000e+02,1.454167e-01,1.197530e+05,5.482047e+03,1.264080e+07,1.535295e-09,1.030699e+00,1.091760e+03,9.686950e-04
3.094000e+02,1.558333e-01,1.179422e+05,5.437504e+03,1.377779e+07,1.543063e-09,1.048312e+00,1.097817e+03,9.897788e-04
3.094000e+02,1.662500e-01,1.162259e+05,5.392735e+03,1.495666e+07,1.550304e-09,1.066705e+00,1.103764e+03,1.010995e-03
3.094000e+02,1.766667e-01,1.146129e+05,5.347804e+03,1.617869e+07,1.556942e-09,1.085826e+00,1.109601e+03,1.032327e-03
3.094000e+02,1.870833e-01,1.131119e+05,5.302772e+03,1.744506e+07,1.562925e-09,1.105627e+00,1.115333e+03,1.053757e-03
3.094000e+02,1.975000e-01,1.117316e+05,5.257694e+03,1.875678e+07,1.568220e-09,1.126063e+00,1.120963e+03,1.075271e-03
3.094000e+02,2.079167e-01,1.104808e+05,5.212621e+03,2.011479e+07,1.572809e-09,1.147090e+00,1.126492e+03,1.096852e-03
3.094000e+02,2.183333e-01,1.093678e+05,5.167599e+03,2.151988e+07,1.576690e-09,1.168668e+00,1.131924e+03,1.118488e-03
3.094000e+02,2.287500e-01,1.084008e+05,5.122672e+03,2.297277e+07,1.579873e-09,1.190759e+00,1.137261e+03,1.140167e-03
3.094000e+02,2.391667e-01,1.075876e+05,5.077878e+03,2.447409e+07,1.582378e-09,1.213326e+00,1.142506e+03,1.161875e-03
3.094000e+02,2.495833e-01,1.069356e+05,5.033254e+03,2.602437e+07,1.584233e-09,1.236335e+00,1.147661e+03,1.183603e-03
3.094000e+02,2.600000e-01,1.064521e+05,4.988831e+03,2.762406e+07,1.585472e-09,1.259754e+00,1.152729e+03,1.205339e-03
3.148167e+02,1.000000e-02,1.714527e+05,8.025738e+03,7.733625e+05,1.492524e-09,9.030019e-01,9.991912e+02,6.476006e-04
3.148167e+02,2.041667e-02,1.683378e+05,7.982067e+03,1.580747e+06,1.480427e-09,9.040307e-01,1.006991e+03,6.633800e-04
3.148167e+02,3.083333e-02,1.653498e+05,7.936099e+03,2.394890e+06,1.473451e-09,9.069235e-01,1.014628e+03,6.795869e-04
