# boron_feed,boron_limit,RO1_Boron_rej,LCOW,RO2_Boron_rej
1.250000e-03,2.400000e-03,6.000000e-01,9.025292e-01,7.771685e-01
1.250000e-03,2.400000e-03,6.500000e-01,9.025292e-01,7.777590e-01
1.250000e-03,2.400000e-03,7.000000e-01,9.025292e-01,7.769173e-01
1.500000e-03,5.000000e-04,4.000000e-01,9.025292e-01,7.775147e-01
1.500000e-03,5.000000e-04,4.500000e-01,9.025292e-01,7.775285e-01
1.500000e-03,5.000000e-04,5.000000e-01,9.025292e-01,7.771996e-01
1.500000e-03,5.000000e-04,5.500000e-01,9.025292e-01,7.767291e-01
1.500000e-03,5.000000e-04,6.000000e-01,9.025292e-01,7.777620e-01
1.500000e-03,5.000000e-04,6.500000e-01,9.025292e-01,7.772354e-01
1.500000e-03,5.000000e-04,7.000000e-01,9.025292e-01,7.775902e-01
1.500000e-03,1.000000e-03,4.000000e-01,9.025292e-01,7.775147e-01
1.500000e-03,1.000000e-03,4.500000e-01,9.025292e-01,7.775285e-01
1.500000e-03,1.000000e-03,5.000000e-01,9.025292e-01,7.771996e-01
1.500000e-03,1.000000e-03,5.500000e-01,9.025292e-01,7.767291e-01
1.500000e-03,1.000000e-03,6.000000e-01,9.025292e-01,7.777620e-01
1.500000e-03,1.000000e-03,6.500000e-01,9.025292e-01,7.772354e-01
1.500000e-03,1.000000e-03,7.000000e-01,9.025292e-01,7.775902e-01
1.500000e-03,2.400000e-03,4.000000e-01,9.025292e-01,7.775147e-01
1.500000e-03,2.400000e-03,4.500000e-01,9.025292e-01,7.775285e-01
1.500000e-03,2.400000e-03,5.000000e-01,9.025292e-01,7.771996e-01
1.500000e-03,2.400000e-03,5.500000e-01,9.025292e-01,7.767291e-01
1.500000e-03,2.400000e-03,6.000000e-01,9.025292e-01,7.777620e-01
1.500000e-03,2.400000e-03,6.500000e-01,9.025292e-01,7.772354e-01
1.500000e-03,2.400000e-03,7.000000e-01,9.025292e-01,7.775902e-01
1.750000e-03,5.000000e-04,4.000000e-01,9.025292e-01,7.773340e-01
1.750000e-03,5.000000e-04,4.500000e-01,9.025292e-01,7.775306e-01
1.750000e-03,5.000000e-04,5.000000e-01,9.025292e-01,7.775768e-01
1.750000e-03,5.000000e-04,5.500000e-01,9.025292e-01,7.773805e-01
1.750000e-03,5.000000e-04,6.000000e-01,9.025292e-01,7.767343e-01
1.750000e-03,5.000000e-04,6.500000e-01,9.025292e-01,7.774901e-01
1.750000e-03,5.000000e-04,7.000000e-01,9.025292e-01,7.777334e-01
1.750000e-03,1.000000e-03,4.000000e-01,9.025292e-01,7.773340e-01
1.750000e-03,1.000000e-03,4.500000e-01,9.025292e-01,7.775306e-01
1.750000e-03,1.000000e-03,5.000000e-01,9.025292e-01,7.775768e-01
1.750000e-03,1.000000e-03,5.500000e-01,9.025292e-01,7.773805e-01
1.750000e-03,1.000000e-03,6.000000e-01,9.025292e-01,7.767343e-01
1.750000e-03,1.000000e-03,6.500000e-01,9.025292e-01,7.774901e-01
1.750000e-03,1.000000e-03,7.000000e-01,9.025292e-01,7.777334e-01
1.750000e-03,2.400000e-03,4.000000e-01,9.025292e-01,7.773340e-01
1.750000e-03,2.400000e-03,4.500000e-01,9.025292e-01,7.775306e-01
1.750000e-03,2.400000e-03,5.000000e-01,9.025292e-01,7.775768e-01
