# boron_feed,boron_limit,LCOW,SEC,Recovery,RO1_Boron_rej,HCl dose,RO2_Boron_rej,NaOH dose,RO1_Feed_pH,RO2_Feed_pH,pH recycle,pH mix,Mem Area RO1,Mem Area RO2,P1,P2
1.000000e-02,1.000000e-03,9.186538e-01,5.106078e+00,5.935054e-01,5.000000e-01,6.300387e+01,8.888889e-01,3.468587e+01,5.500000e+00,1.051445e+01,1.056021e+01,7.869632e+00,1.072351e+02,7.062189e+01,6.904961e+06,1.231663e+06
1.000000e-02,2.400000e-03,9.010880e-01,5.102198e+00,5.924397e-01,5.000000e-01,6.068117e+01,6.842106e-01,1.008481e+01,5.500000e+00,9.114164e+00,9.159922e+00,7.672230e+00,1.074967e+02,7.051141e+01,6.886950e+06,1.231389e+06
1.500000e-02,3.000000e-04,1.003964e+00,5.124532e+00,5.983650e-01,5.000000e-01,7.318719e+01,9.795918e-01,1.560643e+02,5.500000e+00,1.146073e+01,1.150649e+01,8.419017e+00,1.060389e+02,7.112537e+01,6.988475e+06,1.232908e+06
1.500000e-02,5.000000e-04,9.680870e-01,5.116745e+00,5.963547e-01,5.000000e-01,6.893611e+01,9.655172e-01,1.049305e+02,5.500000e+00,1.125620e+01,1.130196e+01,8.237522e+00,1.065344e+02,7.091715e+01,6.953649e+06,1.232394e+06
1.500000e-02,1.000000e-03,9.319923e-01,5.108948e+00,5.942834e-01,5.000000e-01,6.461218e+01,9.285714e-01,5.361711e+01,5.500000e+00,1.085595e+01,1.090170e+01,7.988293e+00,1.070440e+02,7.070252e+01,6.918177e+06,1.231863e+06
1.500000e-02,2.400000e-03,9.090424e-01,5.103993e+00,5.929348e-01,5.000000e-01,6.180489e+01,8.095238e-01,2.111162e+01,5.500000e+00,9.936486e+00,9.982243e+00,7.771123e+00,1.073752e+02,7.056274e+01,6.895305e+06,1.231516e+06
2.000000e-02,3.000000e-04,1.026801e+00,5.129519e+00,5.996239e-01,5.000000e-01,7.589440e+01,9.847716e-01,1.886396e+02,5.500000e+00,1.155354e+01,1.159930e+01,8.511159e+00,1.057281e+02,7.125574e+01,7.010491e+06,1.233229e+06
2.000000e-02,5.000000e-04,9.874888e-01,5.120948e+00,5.974468e-01,5.000000e-01,7.123481e+01,9.743590e-01,1.325761e+02,5.500000e+00,1.137847e+01,1.142423e+01,8.341505e+00,1.062654e+02,7.103028e+01,6.972519e+06,1.232673e+06
2.000000e-02,1.000000e-03,9.449707e-01,5.111744e+00,5.950333e-01,5.000000e-01,6.616819e+01,9.473684e-01,7.205885e+01,5.500000e+00,1.104405e+01,1.108981e+01,8.088412e+00,1.068596e+02,7.078024e+01,6.930972e+06,1.232055e+06
2.000000e-02,2.400000e-03,9.143689e-01,5.105155e+00,5.932535e-01,5.000000e-01,6.248266e+01,8.636364e-01,2.861320e+01,5.500000e+00,1.032012e+01,1.036588e+01,7.827442e+00,1.072970e+02,7.059577e+01,6.900694e+06,1.231598e+06
2.500000e-02,3.000000e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.500000e-02,5.000000e-04,1.003964e+00,5.124532e+00,5.983650e-01,5.000000e-01,7.318719e+01,9.795918e-01,1.560643e+02,5.500000e+00,1.146073e+01,1.150649e+01,8.419017e+00,1.060389e+02,7.112537e+01,6.988475e+06,1.232908e+06
2.500000e-02,1.000000e-03,9.570271e-01,5.114347e+00,5.957241e-01,5.000000e-01,6.760793e+01,9.583333e-01,8.920621e+01,5.500000e+00,1.116734e+01,1.121310e+01,8.170149e+00,1.066897e+02,7.085181e+01,6.942805e+06,1.232232e+06
