# boron_feed,boron_limit,LCOW,SEC,RO1_Boron_rej,RO1_Feed_pH,CO2 dose,RO2_Boron_rej,RO2_Feed_pH,NaOH dose,Mem Area RO1,Mem Area RO2,P1,P2
3.042553e-03,1.000000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
3.042553e-03,2.400000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
3.553191e-03,3.000000e-04,9.283769e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,8.798592e-01,9.905213e+00,2.036150e+01,1.289352e+02,8.462814e+01,5.652224e+06,5.652224e+06
3.553191e-03,5.000000e-04,9.243661e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,7.866489e-01,9.473683e+00,1.415375e+01,1.289352e+02,8.462815e+01,5.652224e+06,5.652224e+06
3.553191e-03,1.000000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
3.553191e-03,2.400000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
4.063830e-03,3.000000e-04,9.291744e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,8.961587e-01,9.981553e+00,2.159579e+01,1.289352e+02,8.462814e+01,5.652224e+06,5.652224e+06
4.063830e-03,5.000000e-04,9.256702e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,8.172186e-01,9.620027e+00,1.617213e+01,1.289352e+02,8.462815e+01,5.652224e+06,5.652224e+06
4.063830e-03,1.000000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
4.063830e-03,2.400000e-03,9.152214e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,6.549446e-01,7.735983e+00,1.407049e-06,1.289352e+02,8.462816e+01,5.652224e+06,5.652224e+06
4.574468e-03,3.000000e-04,9.298424e-01,5.152730e+00,5.657467e-01,6.500000e+00,2.369474e+01,9.085639e-01,1.004200e+01,2.262965e+01,1.289352e+02,8.462814e+01,5.652224e+06,5.652224e+06
