# Recovery,Inlet Salinity,LCOW,Specific energy consumption,Evaporator area
7.785714e-01,1.466667e-01,2.822091e+00,8.486229e+00,1.214392e+03
7.785714e-01,1.633333e-01,2.908676e+00,8.894009e+00,1.286770e+03
7.785714e-01,1.800000e-01,3.093949e+00,9.927081e+00,1.388171e+03
8.142857e-01,3.000000e-02,2.627701e+00,7.693054e+00,1.001048e+03
8.142857e-01,4.666667e-02,2.644222e+00,7.753072e+00,1.029871e+03
8.142857e-01,6.333333e-02,2.664998e+00,7.830679e+00,1.062309e+03
8.142857e-01,8.000000e-02,2.691929e+00,7.934679e+00,1.099576e+03
8.142857e-01,9.666667e-02,2.728254e+00,8.080777e+00,1.143595e+03
8.142857e-01,1.133333e-01,2.780011e+00,8.299826e+00,1.197636e+03
8.142857e-01,1.300000e-01,2.859940e+00,8.661384e+00,1.267798e+03
8.142857e-01,1.466667e-01,3.000737e+00,9.359731e+00,1.367114e+03
8.142857e-01,1.633333e-01,3.778840e+00,1.465061e+01,1.583469e+03
8.142857e-01,1.800000e-01,nan,nan,nan
8.500000e-01,3.000000e-02,2.633969e+00,7.715910e+00,1.049638e+03
8.500000e-01,4.666667e-02,2.657119e+00,7.801268e+00,1.084319e+03
8.500000e-01,6.333333e-02,2.688636e+00,7.922101e+00,1.125397e+03
8.500000e-01,8.000000e-02,2.734112e+00,8.105340e+00,1.176178e+03
8.500000e-01,9.666667e-02,2.805650e+00,8.413323e+00,1.243057e+03
8.500000e-01,1.133333e-01,2.935547e+00,9.027894e+00,1.340446e+03
8.500000e-01,1.300000e-01,3.566016e+00,1.304511e+01,1.554593e+03
8.500000e-01,1.466667e-01,nan,nan,nan
8.500000e-01,1.633333e-01,nan,nan,nan
8.500000e-01,1.800000e-01,nan,nan,nan
