# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Evaporator temperature,Evaporator pressure,Compressor pressure ratio
4.888889e-01,4.777778e-02,nan,nan,nan,nan,nan,nan
4.888889e-01,6.055556e-02,2.626880e+00,7.686126e+00,6.178954e+02,2.981517e+02,2.147652e+04,1.189960e+00
4.888889e-01,7.333333e-02,nan,nan,nan,nan,nan,nan
4.888889e-01,8.611111e-02,2.634845e+00,7.714656e+00,6.386348e+02,2.981517e+02,2.105146e+04,1.190718e+00
4.888889e-01,9.888889e-02,2.639180e+00,7.730336e+00,6.495842e+02,2.981517e+02,2.082620e+04,1.191135e+00
4.888889e-01,1.116667e-01,2.643780e+00,7.747085e+00,6.609528e+02,2.981517e+02,2.059177e+04,1.191581e+00
4.888889e-01,1.244444e-01,nan,nan,nan,nan,nan,nan
4.888889e-01,1.372222e-01,2.653874e+00,7.784253e+00,6.850585e+02,2.981517e+02,2.009302e+04,1.192570e+00
4.888889e-01,1.500000e-01,2.659429e+00,7.804944e+00,6.978587e+02,2.981517e+02,1.982742e+04,1.193122e+00
5.333333e-01,3.500000e-02,2.619386e+00,7.660403e+00,6.533334e+02,2.981517e+02,2.182092e+04,1.189402e+00
5.333333e-01,4.777778e-02,2.623255e+00,7.674068e+00,6.638833e+02,2.981517e+02,2.160663e+04,1.189765e+00
5.333333e-01,6.055556e-02,2.627356e+00,7.688649e+00,6.748177e+02,2.981517e+02,2.138341e+04,1.190153e+00
5.333333e-01,7.333333e-02,2.631713e+00,7.704240e+00,6.861609e+02,2.981517e+02,2.115072e+04,1.190568e+00
5.333333e-01,8.611111e-02,2.636348e+00,7.720947e+00,6.979394e+02,2.981517e+02,2.090791e+04,1.191012e+00
5.333333e-01,9.888889e-02,2.641290e+00,7.738893e+00,7.101825e+02,2.981517e+02,2.065433e+04,1.191490e+00
5.333333e-01,1.116667e-01,2.646570e+00,7.758217e+00,7.229223e+02,2.981517e+02,2.038924e+04,1.192005e+00
5.333333e-01,1.244444e-01,2.652224e+00,7.779082e+00,7.361945e+02,2.981517e+02,2.011183e+04,1.192561e+00
5.333333e-01,1.372222e-01,2.658295e+00,7.801676e+00,7.500387e+02,2.981517e+02,1.982124e+04,1.193163e+00
5.333333e-01,1.500000e-01,2.664830e+00,7.826219e+00,7.644992e+02,2.981517e+02,1.951649e+04,1.193818e+00
5.777778e-01,3.500000e-02,2.619429e+00,7.661228e+00,7.082749e+02,2.981517e+02,2.176002e+04,1.189530e+00
5.777778e-01,4.777778e-02,2.623788e+00,7.676648e+00,7.199524e+02,2.981517e+02,2.151987e+04,1.189940e+00
5.777778e-01,6.055556e-02,2.628442e+00,7.693231e+00,7.320808e+02,2.981517e+02,2.126855e+04,1.190382e+00
5.777778e-01,7.333333e-02,2.633420e+00,7.711108e+00,7.446917e+02,2.981517e+02,2.100528e+04,1.190858e+00
5.777778e-01,8.611111e-02,2.638760e+00,7.730437e+00,7.578198e+02,2.981517e+02,2.072918e+04,1.191372e+00
5.777778e-01,9.888889e-02,2.644501e+00,7.751396e+00,7.715041e+02,2.981517e+02,2.043928e+04,1.191931e+00
5.777778e-01,1.116667e-01,2.650690e+00,7.774197e+00,7.857879e+02,2.981517e+02,2.013453e+04,1.192539e+00
5.777778e-01,1.244444e-01,2.657384e+00,7.799091e+00,8.007204e+02,2.981517e+02,1.981374e+04,1.193203e+00
5.777778e-01,1.372222e-01,2.664646e+00,7.826371e+00,8.163567e+02,2.981517e+02,1.947564e+04,1.193932e+00
5.777778e-01,1.500000e-01,2.672552e+00,7.856391e+00,8.327598e+02,2.981517e+02,1.911876e+04,1.194734e+00
6.222222e-01,3.500000e-02,nan,nan,nan,nan,nan,nan
6.222222e-01,4.777778e-02,2.624895e+00,7.681176e+00,7.763675e+02,2.981517e+02,2.141074e+04,1.190152e+00
6.222222e-01,6.055556e-02,2.630270e+00,7.700394e+00,7.898249e+02,2.981517e+02,2.112330e+04,1.190664e+00
6.222222e-01,7.333333e-02,2.636076e+00,7.721334e+00,8.038630e+02,2.981517e+02,2.082032e+04,1.191222e+00
6.222222e-01,8.611111e-02,2.642365e+00,7.744233e+00,8.185299e+02,2.981517e+02,2.050052e+04,1.191833e+00
6.222222e-01,9.888889e-02,nan,nan,nan,nan,nan,nan
6.222222e-01,1.116667e-01,2.656663e+00,7.797099e+00,8.499770e+02,2.981517e+02,1.980448e+04,1.193244e+00
6.222222e-01,1.244444e-01,2.664835e+00,7.827816e+00,8.668913e+02,2.981517e+02,1.942482e+04,1.194064e+00
6.222222e-01,1.372222e-01,2.673828e+00,7.862026e+00,8.847065e+02,2.981517e+02,1.902143e+04,1.194979e+00
6.222222e-01,1.500000e-01,2.683772e+00,7.900348e+00,9.035198e+02,2.981517e+02,1.859202e+04,1.196004e+00
6.666667e-01,3.500000e-02,2.620904e+00,7.667521e+00,8.189552e+02,2.981517e+02,2.158567e+04,1.189867e+00
6.666667e-01,4.777778e-02,2.626741e+00,7.688281e+00,8.332868e+02,2.981517e+02,2.126930e+04,1.190421e+00
6.666667e-01,6.055556e-02,nan,nan,nan,nan,nan,nan
6.666667e-01,7.333333e-02,2.640053e+00,7.736352e+00,8.639921e+02,2.981517e+02,2.057719e+04,1.191703e+00
6.666667e-01,8.611111e-02,2.647690e+00,7.764376e+00,8.804990e+02,2.981517e+02,2.019762e+04,1.192451e+00
6.666667e-01,9.888889e-02,2.656117e+00,7.795669e+00,8.978823e+02,2.981517e+02,1.979272e+04,1.193286e+00
6.666667e-01,1.116667e-01,2.665463e+00,7.830824e+00,9.162398e+02,2.981517e+02,1.935987e+04,1.194226e+00
6.666667e-01,1.244444e-01,nan,nan,nan,nan,nan,nan
6.666667e-01,1.372222e-01,2.687594e+00,7.915908e+00,9.563639e+02,2.981517e+02,1.839788e+04,1.196503e+00
6.666667e-01,1.500000e-01,2.700831e+00,7.968005e+00,9.784376e+02,2.981517e+02,1.786133e+04,1.197899e+00
